Maschine	KW Fertigung	Nr.	KW Lief.	Auftrag	ANr	AK	Name		Artikelnummer		Masche/Bemerkung	Menge	Stck Pal.	P-Länge	P-Breite	P-Höhe	P-Anzahl
Paletten	2624	4	2628	109873	0		Big Dutchman		PSC83-01-2361   /002			3	360	1200	830	1460	1
Paletten	2624	5	2628	109874	0		Big Dutchman		PSC83-01-2361   /002			3	360	1200	830	1460	1
Paletten	2624	8	0	109898	5		Bressers Metaal BV		PSV940x940      /021			28	250	950	950	1520	1
Paletten	2624	9	2625	109972	0		Hellmann Poultry Gmb		PSC45-36-0768   /003			1	400	1200	850	1360	1
Paletten	2624	10	2625	109972	0		Hellmann Poultry Gmb		PSC45-36-1053   /001			1	400	950	1250	1330	1
Paletten	2624	12	2625	109972	0		Hellmann Poultry Gmb		PSC45-36-1049   /001			2	100	2415	760	780	1
Paletten	2624	14	2625	109972	0		Hellmann Poultry Gmb		PSC45-36-1317   /001			1	160	650	1050	1070	1
Paletten	2624	15	2625	110012	0		VDL Jansen bv		PSVJ013110-016  /002			4	250	2500	1000	790	1
Paletten	2624	16	2624	110044	1		VDL Jansen bv		PSVJ300600-025  /001			13	150	1200	1020	1200	1
Paletten	2624	19	2624	110046	1		VDL Jansen bv		PSV1147x385     /001			5	650	1180	1160	1010	1
Paletten	2624	20	2624	110047	0		VDL Jansen bv		PSVJ010188-545  /003			25	72	1200	800	1380	1
Paletten	2624	21	2625	110115	0		Victorsson Poultry A		PSC170044       /002			4	200	1150	1200	845	1
Paletten	2624	23	2626	110147	0		Hellmann Poultry Gmb		PSC45-36-0777   /002			1	1000	2450	950	1140	1
Paletten	2624	24	2626	110057	0		Hellmann Poultry Gmb		PSC45-36-0140   /004			1	500	1280	1020	1140	1
Paletten	2624	25	2626	110057	0		Hellmann Poultry Gmb		PSC45-36-0137   /006			3	500	965	615	1200	1
Paletten	2624	26	2626	110057	0		Hellmann Poultry Gmb		PSC45-36-0136   /005			3	500	965	615	1200	1
Paletten	2624	31	2625	109612	24		Hellmann Poultry Gmb		PSC45-36-0031   /008			2	360	1200	1200	1460	1
Paletten	2624	34	2626	110152	0	01/02	de InkoopConcurrent		PSV2003x1003    /025			18	230	2050	1000	820	1
Paletten	2624	37	2625	110164	0		VELUX Commercial Pro		PSV1440x1090    /001			1	50	1450	1100	400	1
Paletten	2624	40	2625	110239	0		Big Dutchman		PSC83-15-4645   /001			1	400	1200	800	1000	1
Paletten	2624	41	2626	110257	0		Big Dutchman		PSC83-19-7135   /002			1	1500	1200	930	930	1
Paletten	2625	1	2631	109817	0	02/05	Draht Müller GmbH & 		DGB-10KN        /001			27	38	1140	900	1270	1
Paletten	2625	13	2625	110032	0		VDL Jansen bv		PSV1170x418     /001			3	650	1270	1180	1040	1
Paletten	2625	14	2625	110032	0		VDL Jansen bv		PSV1193x564     /002			13	150	1200	1100	1210	1
Paletten	2625	19	2630	109659	11		BITO Lagertechnik		PSV2700x1503    /009			15	55	2710	1060	1690	1
Paletten	2625	20	2625	110098	0		Hellmann Poultry Gmb		PSC45-36-0768   /003			2	400	1200	850	1360	1
Paletten	2625	21	2625	110098	0		Hellmann Poultry Gmb		PSC45-36-0957   /001			4	400	1520	1260		1
Paletten	2625	37	2627	110155	0		Hellmann Poultry Gmb		PSC45-36-0850   /001			2	2200	1200	800	1450	1
Paletten	2625	45	2626	110255	0		Big Dutchman		PSC83-04-5140   /001			6	750	1200	770	950	1
Paletten	2626	1	2629	109818	0		Big Dutchman		PSC83-59-1806   /002			3	200	1260	1030	1050	1
Paletten	2626	3	2630	109658	4		BITO Lagertechnik		PSV2700x1003    /006			3	55	2730	1060	1170	1
Paletten	2626	4	2630	109661	5		BITO Lagertechnik		PSV3300x1503    /003			1	55	3310	1060	1670	1
Paletten	2626	7	2630	110141	0		VDL Jansen bv		PSCJ015224-481  /001			9	350	1200	850	1070	1
Paletten	2626	9	2630	110141	0		VDL Jansen bv		PSVJ012616      /002			2	500	1045	1155	1200	1
Paletten	2626	11	2627	110181	0		Dexion GmbH		PSV2059x499     /001			1	400	2100	1040	800	1
Paletten	2626	36	2627	110155	0		Hellmann Poultry Gmb		PSC45-36-0208   /001			2	600	1350	1200	1160	1
Paletten	2626	189	2628	110173	0		Hellmann Poultry Gmb		PSC45-36-0571   /001			4	1200	1150	700	1040	1
Paletten	2626	191	2627	110155	0		Hellmann Poultry Gmb		PSC45-36-0988   /001			7	360	1400	1100	1460	1
Paletten	2626	197	2627	110241	0		Hellmann Poultry Gmb		PSC45-36-0335   /003			1	500	1340	940	1200	1
Paletten	2627	3	2628	110190	0		R. Inauen AG		PSV2003x1003    /024			2	150	2050	1050	760	1
Paletten	2627	4	2628	110190	0		R. Inauen AG		PSV1803x1003    /004			2	150	1850	1050	760	1
Paletten	2627	5	2628	110176	0		VDL Jansen bv		PSVJ003301-131  /002			3	160	1220	765	1040	1
Paletten	2627	8	2631	110180	0		VDL Jansen bv		PSVJ013110-016  /002			4	250	2500	1000	790	1
Paletten	2627	10	2628	110213	0		BITO Lagertechnik		PSV2800x1503    /002			4	55	2830	1060	1670	1
Paletten	2627	13	2628	110213	0		BITO Lagertechnik		PSV1900x1503    /002			1	55	1930	1060	1670	1
Paletten	2627	14	2628	110213	0		BITO Lagertechnik		PSV1900x1003    /002			1	55	1930	1060	1170	1
Paletten	2627	18	2628	110213	0		BITO Lagertechnik		PSV2000x1003    /007			1	55	2100	1100	800	1
Paletten	2627	19	2629	110248	0		VDL Jansen bv		PSVJ010179-251  /002			1	1000	1500	830	1200	1
Paletten	2628	3	2626	110147	0	01/03	Hellmann Poultry Gmb		PSC45-36-0958   /003			5	400	1120	1250	1330	1
Paletten	2628	43	2653	109843	0		Draht Müller GmbH & 		PSV2700x1003    /006			4	55	2730	1060	1170	1
Paletten	2628	44	2629	110248	0		VDL Jansen bv		PSVJ005200-448  /002			1	1000	1180	1500	800	1
Paletten	2628	45	2629	110248	0		VDL Jansen bv		PSVJ013110-014  /002			1	250	1550	970	790	1
Paletten	2628	46	2629	110248	0		VDL Jansen bv		PSVJ005200-664  /003			1	125	1450	1000	1118	1
Paletten	2629	7	2630	110121	0		GI-RO Technik GmbH &		EWM1922x890     /001			13	38				1
Paletten	2629	16	2620	110240	0		VHV Anlagenbau GmbH		PSF1559x993     /001			2	50	1580	1000		1
Paletten	2630	1	2636	109747	0		Hellmann Poultry Gmb		PSC45-36-1004   /001			6	1200	1200	800	1400	1
Paletten	2630	3	2636	109747	0		Hellmann Poultry Gmb		PSC45-36-0334   /003			7	500	1330	800	800	1
Paletten	2630	8	2631	109947	0		Big Dutchman		PSC83-10-8406   /001			1	2000	1200	800	1100	1
Paletten	2630	13	2635	110058	0		Big Dutchman		PSC83-08-9645   /001			1	3000	1160	1190	940	1
Paletten	2630	14	2633	110118	0		Big Dutchman		PSC83-14-7140   /001			1	1500	1200	1340	1260	1
Paletten	2630	16	2631	110188	0		Hellmann Poultry Gmb		PSC45-36-0955   /001			2	400	1030	1260		1
Paletten	2630	19	2634	110174	0		Big Dutchman		PSC83-13-9092   /003			10	360	1200	1100		1
Paletten	2631	5	0	109953	0	03/05	Bressers Metaal BV		PSV940x400      /005			15	750	1150	970	1530	1
Paletten	2631	6	0	109954	0	03/05	Bressers Metaal BV		PSV940x300      /005			12	750	850	970	1530	1
Paletten	2631	10	2635	110058	0	01/05	Big Dutchman		PSC83-09-1897   /001			14	150	1360	1210	1125	1
Paletten	2632	3	2636	109747	0		Hellmann Poultry Gmb		PSC45-36-0049   /004			19	360	1200	1050	1440	1
Paletten	2633	2	2639	110123	0		Hellmann Poultry Gmb		PSC45-36-0453   /004			1	500	1390	1220	1195	1
Paletten	2645	1	2701	110258	0		Big Dutchman		PSC83-12-0681   /002			2	200	1210	400	360	1
