Maschine	KW Fertigung	Nr.	KW Lief.	Auftrag	ANr	AK	Name		Artikelnummer		Masche/Bemerkung	Menge	Stck Pal.	P-Länge	P-Breite	P-Höhe	P-Anzahl
Paletten	2619	62	2621	109941	0		Hellmann Poultry Gmb		PSC45-36-0590   /002			4	360	1200	1100	1470	1
Paletten	2619	63	2621	109941	0		Hellmann Poultry Gmb		PSC45-36-0589   /002			4	360	1200	1100	1470	1
Paletten	2619	64	2620	109931	0		Hellmann Poultry Gmb		PSC45-36-0777   /002			1	1000	2450	950	1140	1
Paletten	2619	65	2620	109887	0		Hellmann Poultry Gmb		PSC45-36-0777   /002			1	1000	2450	950	1140	1
Paletten	2619	66	2623	109930	0		Hellmann Poultry Gmb		PSC45-36-0777   /002			1	1000	2450	950	1140	1
Paletten	2619	67	2623	109930	0		Hellmann Poultry Gmb		PSC45-36-0928   /002			1	250	1180	1150	900	1
Paletten	2619	68	2624	109929	0		Hellmann Poultry Gmb		PSC45-36-0928   /002			3	250	1180	1150	900	1
Paletten	2619	69	2624	109929	0		Hellmann Poultry Gmb		PSC45-36-0777   /002			1	1000	2450	950	1140	1
Paletten	2619	70	2620	110083	0		VDL Systems B.V.		PSE-VDL-1052269 /002			1	2500	1200	800	1100	1
Paletten	2619	71	0	109951	0	01/05	Bressers Metaal BV		PSV940x200      /005			14	1000	1180	960	880	1
Paletten	2619	72	2620	110083	0		VDL Systems B.V.		PSE1095x155     /001			1	1500	1200	800	800	1
Paletten	2619	73	0	109956	0	01/05	Bressers Metaal BV		PSV1130x1130    /007			11	250	1170	1170	1520	1
Paletten	2619	74	0	109957	0	01/05	Bressers Metaal BV		PSV740x340      /004			15	750	900	750	1630	1
Paletten	2619	75	0	109958	0	01/05	Bressers Metaal BV		PSV1130x530     /002			10	500	1170	1090	1520	1
Paletten	2619	76	2621	109987	0		Hellmann Poultry Gmb		PSC45-36-0583   /001			2	360	1200	1300	1470	1
Paletten	2619	77	2623	110021	0		Hellmann Poultry Gmb		PSC45-36-0777   /002			1	1000	2450	950	1140	1
Paletten	2619	78	2623	110029	0		Hellmann Poultry Gmb		PSC45-36-0777   /002			1	1000	2450	950	1140	1
Paletten	2619	79	2621	110068	0		Big Dutchman		PSC83-07-6069   /002			6	200	1200	650	1200	1
Paletten	2619	80	2624	110051	0		Hellmann Poultry Gmb		PSC45-36-1049   /001			3	100	2415	760	780	1
Paletten	2619	81	2624	110071	0		Hellmann Poultry Gmb		PSC45-36-1049   /001			1	100	2415	760	780	1
Paletten	2619	82	2619	110134	0		Dexion GmbH		PSV2459x399     /001			1	100	2500	850	350	1
Paletten	2619	83	2624	110065	0		Hellmann Poultry Gmb		PSC45-36-0908   /002			1	1500	1470	710		1
Paletten	2619	84	2619	110220	0		BITO Lagertechnik		PSV1950x1250    /007			2	50	2000	1300	350	1
Paletten	2619	85	2621	110243	0		BITO Lagertechnik		PSV2450x1250    /008			4	50	2500	1300	860	1
Paletten	2619	86	2624	110253	0		Big Dutchman		PSC83-55-4496   /001			2	100	2750	1300	540	1
Paletten	2619	87	2624	110250	0		BITO Lagertechnik		PSV2102x702     /001			1	200	2150	750	600	1
