rubrik_id (englischer Name);rubrikname (deutscher Name);pfad
127;Schleifen & Schneiden;Baumaschinen / Schleifen & Schneiden
779;Scraper;Baumaschinen / Scraper
111;Siebanlagen & Brechanlagen;Baumaschinen / Siebanlagen & Brechanlagen
664;Spezial-Baumaschinen;Baumaschinen / Spezial-Baumaschinen
128;Stampfer;Baumaschinen / Stampfer
129;Stanz- & Biegemaschinen (Bauwesen);Baumaschinen / Stanz- & Biegemaschinen (Bauwesen)
131;Straßenfertiger;Baumaschinen / Straßenfertiger
132;Stromgenerator & Stromerzeuger;Baumaschinen / Stromgenerator & Stromerzeuger
780;Tunnelbaumaschinen;Baumaschinen / Tunnelbaumaschinen
1711;Anhängewalzen;Baumaschinen / Walzen für Bau & Straßenbau / Anhängewalzen
1712;Grabenwalzen;Baumaschinen / Walzen für Bau & Straßenbau / Grabenwalzen
1713;Kombiwalzen;Baumaschinen / Walzen für Bau & Straßenbau / Kombiwalzen
1950;Sonstige Walzen;Baumaschinen / Walzen für Bau & Straßenbau / Sonstige Walzen
1714;Tandemwalzen;Baumaschinen / Walzen für Bau & Straßenbau / Tandemwalzen
1715;Walzenzüge;Baumaschinen / Walzen für Bau & Straßenbau / Walzenzüge
1716;Zubehör & Ersatzteile für Walzen für Bau & Straßenbau;Baumaschinen / Walzen für Bau & Straßenbau / Zubehör & Ersatzteile für Walzen für Bau & Straßenbau
135;Werkzeuge;Baumaschinen / Werkzeuge
190;Aktenvernichter;Bürotechnik / Aktenvernichter
191;Bürodrucker;Bürotechnik / Bürodrucker
197;Büromöbel;Bürotechnik / Büromöbel
737;Computerprogramme;Bürotechnik / Computerprogramme
192;Falzmaschinen;Bürotechnik / Falzmaschinen
193;Frankiermaschinen;Bürotechnik / Frankiermaschinen
754;Geldbearbeitungsmaschinen;Bürotechnik / Geldbearbeitungsmaschinen
195;Kopierer;Bürotechnik / Kopierer
194;Kuvertiermaschinen;Bürotechnik / Kuvertiermaschinen
196;Lichtpausmaschinen;Bürotechnik / Lichtpausmaschinen
198;Schreibmaschinen;Bürotechnik / Schreibmaschinen
668;Sonstige Bürotechnik;Bürotechnik / Sonstige Bürotechnik
199;Telefonanlagen & Faxgeräte;Bürotechnik / Telefonanlagen & Faxgeräte
200;Tresore;Bürotechnik / Tresore
201;Videoprojektionsgeräte;Bürotechnik / Videoprojektionsgeräte
616;Absauganlagen;Chemische & pharmazeutische Maschinen / Absauganlagen
617;Abwasseranlagen;Chemische & pharmazeutische Maschinen / Abwasseranlagen
618;Behälter;Chemische & pharmazeutische Maschinen / Behälter
619;Dampferzeugung;Chemische & pharmazeutische Maschinen / Dampferzeugung
620;Dosieranlagen;Chemische & pharmazeutische Maschinen / Dosieranlagen
621;Entsorgungsanlagen;Chemische & pharmazeutische Maschinen / Entsorgungsanlagen
622;Filtrieranlagen;Chemische & pharmazeutische Maschinen / Filtrieranlagen
623;Förderanlagen;Chemische & pharmazeutische Maschinen / Förderanlagen
624;Füll- & Verschließmaschinen;Chemische & pharmazeutische Maschinen / Füll- & Verschließmaschinen
625;Kapselmaschinen;Chemische & pharmazeutische Maschinen / Kapselmaschinen
626;Laboreinrichtungen;Chemische & pharmazeutische Maschinen / Laboreinrichtungen
637;Laborwaagen;Chemische & pharmazeutische Maschinen / Laborwaagen
629;Laboröfen;Chemische & pharmazeutische Maschinen / Laboröfen
627;Mixer;Chemische & pharmazeutische Maschinen / Mixer
628;Mühlen;Chemische & pharmazeutische Maschinen / Mühlen
630;Pressen für Pharma & Chemie;Chemische & pharmazeutische Maschinen / Pressen für Pharma & Chemie
631;Pumpen;Chemische & pharmazeutische Maschinen / Pumpen
632;Reaktoren, Kessel & Behälter;Chemische & pharmazeutische Maschinen / Reaktoren, Kessel & Behälter
633;Rührwerke & Mischanlagen;Chemische & pharmazeutische Maschinen / Rührwerke & Mischanlagen
634;Siloanlagen;Chemische & pharmazeutische Maschinen / Siloanlagen
662;Sonstige chemische & pharmazeutische Maschinen;Chemische & pharmazeutische Maschinen / Sonstige chemische & pharmazeutische Maschinen
635;Trocknungsanlagen;Chemische & pharmazeutische Maschinen / Trocknungsanlagen
636;Verpackungsmaschinen;Chemische & pharmazeutische Maschinen / Verpackungsmaschinen
639;Wärmebehandlung;Chemische & pharmazeutische Maschinen / Wärmebehandlung
638;Wärmetauscher;Chemische & pharmazeutische Maschinen / Wärmetauscher
640;Zentrifugen;Chemische & pharmazeutische Maschinen / Zentrifugen
641;Zerkleinerungsmaschinen;Chemische & pharmazeutische Maschinen / Zerkleinerungsmaschinen
473;Ablaufhaspel;Drahtverarbeitungsmaschinen / Ablaufhaspel
472;Ablängautomaten;Drahtverarbeitungsmaschinen / Ablängautomaten
753;Anfasmaschinen;Drahtverarbeitungsmaschinen / Anfasmaschinen
474;Anspitzmaschinen;Drahtverarbeitungsmaschinen / Anspitzmaschinen
475;Drahtbiegemaschine & Biegeteilherstellungsmaschinen;Drahtverarbeitungsmaschinen / Drahtbiegemaschine & Biegeteilherstellungsmaschinen
476;Drahterodiermaschinen;Drahtverarbeitungsmaschinen / Drahterodiermaschinen
477;Drahtgitterschweißmaschinen;Drahtverarbeitungsmaschinen / Drahtgitterschweißmaschinen
478;Drahtrichtmaschinen;Drahtverarbeitungsmaschinen / Drahtrichtmaschinen
479;Drahtschneidemaschinen;Drahtverarbeitungsmaschinen / Drahtschneidemaschinen
480;Drahtstiftpressen;Drahtverarbeitungsmaschinen / Drahtstiftpressen
481;Drahtwebstühle;Drahtverarbeitungsmaschinen / Drahtwebstühle
482;Drahtziehmaschinen;Drahtverarbeitungsmaschinen / Drahtziehmaschinen
483;Federendeschleifmaschinen;Drahtverarbeitungsmaschinen / Federendeschleifmaschinen
484;Federn-Herstellungsmaschinen;Drahtverarbeitungsmaschinen / Federn-Herstellungsmaschinen
485;Federn-Prüfgeräte;Drahtverarbeitungsmaschinen / Federn-Prüfgeräte
750;Federwickelmaschinen;Drahtverarbeitungsmaschinen / Federwickelmaschinen
486;Galvanisieranlagen;Drahtverarbeitungsmaschinen / Galvanisieranlagen
487;Grobzüge;Drahtverarbeitungsmaschinen / Grobzüge
488;Heftklammermaschinen;Drahtverarbeitungsmaschinen / Heftklammermaschinen
741;Kabelherstellungsmaschinen;Drahtverarbeitungsmaschinen / Kabelherstellungsmaschinen
489;Kettenherstellungsmaschinen;Drahtverarbeitungsmaschinen / Kettenherstellungsmaschinen
705;Kneifmaschinen;Drahtverarbeitungsmaschinen / Kneifmaschinen
490;Krippmaschinen;Drahtverarbeitungsmaschinen / Krippmaschinen
492;Pressen für die Drahtverarbeitung;Drahtverarbeitungsmaschinen / Pressen für die Drahtverarbeitung
491;Putzmaschinen;Drahtverarbeitungsmaschinen / Putzmaschinen
493;Schraubenherstellungsmaschinen;Drahtverarbeitungsmaschinen / Schraubenherstellungsmaschinen
676;Sonstige Drahtverarbeitungsmaschinen;Drahtverarbeitungsmaschinen / Sonstige Drahtverarbeitungsmaschinen
494;Spuler & Aufwickler;Drahtverarbeitungsmaschinen / Spuler & Aufwickler
727;Stacheldrahtmaschinen;Drahtverarbeitungsmaschinen / Stacheldrahtmaschinen
495;Stumpfschweißmaschinen;Drahtverarbeitungsmaschinen / Stumpfschweißmaschinen
