maschinensucher_id;referenz_im_inserat;restlaufzeit_tage;titel
A22412862;Thomas;303;Jungheinrich 4-Rad-Gabelstapler 5 Sterne
A22431242;Thomas 3;306;TruPrint 3000 Metal 3D Printing Machine
A22430837;Thomas 2;306;TRUMPF TruPrint 5000 G04 3D Drucker
A22431552;Thomas 4;306;Vötsch Klimaprüfschrank Fitotron HGC1014
A22413022;Thomas 1;303;Weiss Klimaprüfschrank mit Feuchte 1500l
A22431867;Thomas 6;306;WERKSTATTMIKROSKOP WM1 300 CNC
A22431932;Thomas 7;306;GOM ATOS 3D Scanner Messsystem
A22734917;;352;Teppichpaternoster
